// Start Time: 00/00/   0 - 01:10:50
// Sample rate: 120.0Hz
// Scenario: 10.8
// Firmware Version: 2.6.1
Counter	Temperature	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	
43284	27.50	-9.764929	0.380242	0.444898	0.004179	-0.017409	-0.003452	1.735112	0.008581	-0.221736	
43285	27.50	-9.764948	0.385028	0.452152	0.000741	-0.007625	-0.002526	1.736833	0.010410	-0.222598	
43286	27.50	-9.755249	0.370461	0.457057	-0.006982	0.006656	-0.005953	1.734735	0.008198	-0.221766	
43287	27.50	-9.767394	0.372909	0.457007	0.005039	-0.004133	0.003648	1.734710	0.008738	-0.222512	
43288	27.50	-9.772219	0.394752	0.447266	0.000697	-0.003256	0.007055	1.734981	0.007947	-0.221749	
43289	27.50	-9.772250	0.380176	0.456976	0.005188	0.005806	-0.017012	1.734722	0.008980	-0.222261	
43290	27.50	-9.755245	0.384971	0.457030	0.003340	0.001230	0.001085	1.735202	0.010156	-0.222967	
43291	27.50	-9.762564	0.365576	0.466723	0.006808	0.006543	0.002071	1.732207	0.008477	-0.222944	
43292	27.50	-9.767378	0.380197	0.452152	0.003300	-0.002369	0.006240	1.733957	0.010146	-0.223058	
43293	27.50	-9.767394	0.370491	0.457012	-0.005332	-0.004971	0.001732	1.734231	0.009096	-0.222172	
43294	27.50	-9.767394	0.372909	0.457007	0.001625	-0.014687	-0.009525	1.733707	0.009633	-0.222954	
43295	27.50	-9.772250	0.380176	0.456976	0.008437	-0.018398	0.007000	1.735704	0.010028	-0.222806	
43296	27.50	-9.762505	0.385056	0.447319	-0.002782	-0.003268	0.010457	1.735145	0.010093	-0.224340	
43297	27.50	-9.777108	0.380188	0.456958	0.005878	-0.004172	0.007995	1.736650	0.012139	-0.224470	
43298	27.50	-9.772225	0.394736	0.449687	0.008555	-0.004073	-0.005813	1.734960	0.009378	-0.222615	
43299	27.50	-9.767339	0.375461	0.437634	-0.000152	-0.009433	0.001767	1.735204	0.009897	-0.222843	
43300	27.50	-9.781953	0.380233	0.452098	0.010197	-0.013052	0.004499	1.735528	0.008039	-0.223575	
43301	27.50	-9.777110	0.372933	0.456971	-0.005261	-0.001336	-0.008613	1.733525	0.010465	-0.224581	
43302	27.50	-9.774675	0.392273	0.456946	-0.008820	-0.009426	0.004223	1.736391	0.009832	-0.221139	
43303	27.50	-9.767429	0.389736	0.471503	0.005036	-0.011220	0.000101	1.733336	0.007325	-0.222370	
43304	27.50	-9.769849	0.375266	0.466678	0.005068	-0.012950	-0.005983	1.735729	0.009999	-0.222182	
43305	27.50	-9.762574	0.380052	0.471539	0.018046	-0.007676	-0.003971	1.734710	0.009761	-0.222756	
43306	27.50	-9.767353	0.373010	0.442481	0.005909	-0.010330	0.000125	1.735582	0.009768	-0.222692	
43307	27.50	-9.767406	0.375294	0.461845	-0.005320	0.003016	0.003560	1.735372	0.011128	-0.222079	
43308	27.50	-9.767401	0.394640	0.461810	0.006793	-0.000564	0.001126	1.732834	0.008476	-0.222774	
43309	27.50	-9.767393	0.375327	0.457003	0.006812	-0.003196	-0.003238	1.735949	0.009651	-0.222790	
43310	27.50	-9.772228	0.385063	0.449704	-0.005370	-0.005908	0.007786	1.734308	0.007488	-0.222920	
43311	27.50	-9.781974	0.399512	0.461748	-0.009674	-0.008523	0.002490	1.734866	0.009343	-0.221875	
43312	27.50	-9.772227	0.389899	0.449696	0.010203	-0.004186	0.008068	1.736123	0.010491	-0.221778	
43313	27.50	-9.767377	0.385034	0.452143	0.003368	-0.004935	-0.006779	1.734707	0.008486	-0.222513	
43314	27.56	-9.767720	0.384822	0.466560	0.004133	0.000281	0.007109	1.734628	0.009752	-0.222558	
43315	27.56	-9.767696	0.375216	0.456893	0.005074	-0.002280	-0.006763	1.732443	0.008149	-0.223970	
43316	27.56	-9.777424	0.382461	0.461686	-0.003562	-0.002232	-0.009502	1.736402	0.010755	-0.221926	
43317	27.56	-9.767718	0.392077	0.466547	0.003294	-0.004996	0.000105	1.734902	0.010237	-0.222038	
43318	27.56	-9.762863	0.379974	0.466587	0.008557	0.004826	-0.007487	1.736876	0.011426	-0.222635	
43319	27.56	-9.772539	0.380098	0.452024	0.011059	-0.003279	0.004585	1.733734	0.009642	-0.223122	
43320	27.56	-9.770126	0.372804	0.456889	-0.015790	-0.005889	0.009298	1.734490	0.009269	-0.225807	
43321	27.56	-9.777398	0.380110	0.452006	0.011980	-0.003210	-0.004923	1.735149	0.009986	-0.222021	
43322	27.56	-9.772533	0.380115	0.449603	0.001493	-0.000659	0.014848	1.733587	0.008388	-0.223388	
43323	27.56	-9.772544	0.363170	0.452055	-0.005304	0.011927	0.000160	1.734973	0.009019	-0.223035	
43324	27.56	-9.767683	0.372832	0.452055	0.004187	-0.006735	-0.005100	1.737821	0.010341	-0.223567	
43325	27.56	-9.777415	0.365567	0.456875	-0.005343	-0.015579	-0.007097	1.735075	0.007767	-0.223282	
43326	27.56	-9.777416	0.384896	0.459261	-0.005352	-0.012933	-0.004464	1.735731	0.011060	-0.223219	
43327	27.56	-9.777410	0.384913	0.456840	-0.000228	-0.005955	0.010427	1.734952	0.008916	-0.223535	
43328	27.56	-9.767671	0.370447	0.447217	0.007667	-0.006720	-0.008505	1.734522	0.010113	-0.222191	
43329	27.56	-9.772539	0.380098	0.452024	-0.000164	-0.004983	0.000047	1.735891	0.009486	-0.221970	
43330	27.56	-9.777424	0.380043	0.461691	-0.000143	-0.005840	-0.004293	1.735246	0.008866	-0.222393	
43331	27.56	-9.767680	0.384923	0.452034	-0.007065	-0.016446	-0.008867	1.735851	0.010555	-0.223212	
43332	27.56	-9.767666	0.384956	0.447191	0.003279	-0.016531	-0.002632	1.732995	0.007452	-0.222439	
43333	27.56	-9.765266	0.380047	0.456893	-0.003644	-0.004996	0.003450	1.736417	0.009203	-0.221186	
43334	27.56	-9.753136	0.372729	0.461793	0.003283	-0.004123	0.002706	1.735633	0.008599	-0.221993	
43335	27.56	-9.767735	0.379952	0.471411	0.011102	-0.001448	-0.002322	1.735344	0.010689	-0.223497	
43336	27.56	-9.774989	0.380054	0.459279	0.005037	-0.012957	-0.006024	1.733997	0.009500	-0.222730	
43337	27.56	-9.782321	0.387209	0.476186	0.010200	-0.005039	0.001954	1.734190	0.008031	-0.223719	
43338	27.56	-9.774994	0.384874	0.461691	-0.010597	-0.004132	0.009409	1.735783	0.009595	-0.221604	
43339	27.56	-9.775006	0.389677	0.466525	0.003250	-0.013026	0.003473	1.735264	0.008590	-0.221895	
43340	27.56	-9.774982	0.380071	0.456858	0.006747	-0.002362	0.002792	1.735810	0.011227	-0.221345	
43341	27.56	-9.777371	0.380177	0.442322	-0.003612	-0.001415	0.000033	1.734412	0.009969	-0.221826	
43342	27.56	-9.777411	0.380077	0.456849	-0.003617	-0.007619	-0.002640	1.734071	0.009047	-0.223847	
43343	27.50	-9.767371	0.380214	0.449731	-0.002650	0.009305	-0.005844	1.735679	0.013125	-0.224162	
43344	27.50	-9.777134	0.382539	0.466638	-0.008761	-0.009346	-0.006168	1.733448	0.009131	-0.223100	
43345	27.50	-9.774690	0.365656	0.459415	-0.001888	-0.010319	0.001726	1.735028	0.010453	-0.221236	
43346	27.50	-9.767423	0.365587	0.466705	0.001476	-0.006027	0.020018	1.732832	0.008735	-0.222898	
43347	27.50	-9.769837	0.370463	0.461845	0.005038	-0.007676	0.001873	1.735916	0.010455	-0.223784	
43348	27.50	-9.767457	0.384833	0.481196	0.000815	0.003989	-0.010181	1.735014	0.009189	-0.221243	
43349	27.50	-9.777133	0.387375	0.466630	0.000743	-0.009394	-0.004277	1.733863	0.007680	-0.221707	
43350	27.50	-9.772263	0.380142	0.461819	-0.012214	-0.000469	-0.002657	1.736123	0.011513	-0.222022	
43351	27.50	-9.762508	0.375383	0.447337	-0.005292	-0.002261	-0.003431	1.735150	0.009576	-0.224093	
